name,full_address,phone,website,rating,rating_count,business_type,industry,ai_local_confidence,ai_software_confidence,potential_services,ai_reasoning,latitude,longitude,place_id
Upper Canada Dental Centre,"17600 Yonge St, Newmarket, ON L3Y 4Z1, Canada",(905) 853-4546,http://www.uppercanadadental.com/,4.9,220,dentist,Healthcare & Wellness,100,90,"website, booking, CRM","The unique name indicates a local business. With a high rating count and services offered, it is likely in need of software for managing appointments, customer relationships, and online presence.",44.055662,-79.486468,ChIJJYFL6-XRKogR_AOvECtcMm8
Best Western Voyageur Place Hotel,"17565 Yonge St, Newmarket, ON L3Y 5H6, Canada",(905) 895-2131,https://www.bestwestern.com/en_US/book/hotel-rooms.66065.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:66065,4.2,1131,auto_repair,Automotive,100,80,"website, booking","Local reference in the name, likely requires software for online booking and service management.",44.05628029999999,-79.4797155,ChIJi418CvDRKogRwq5nNblO-VA
Fine Details North,"72 George St, Newmarket, ON L3Y 4V3, Canada",(905) 953-9274,http://finedetailsnorth.ca/,4.8,127,car_wash,Automotive,100,90,"website, booking, CRM","Local business with a unique name, high rating count, and likely in need of software for managing appointments and customer relationships.",44.0578787,-79.4788695,ChIJz08alPDRKogRpopS2tedxJw
CAA Store - Newmarket,"130 Davis Dr, Newmarket, ON L3Y 2N1, Canada",(905) 836-5171,https://www.caasco.com/store-locator/Newmarket/CAA-Newmarket,4.2,167,health,Healthcare & Wellness,100,90,"website, booking, CRM","Local reference in the business name, high likelihood of needing software for booking appointments and managing customer relationships.",44.05574980000001,-79.4738192,ChIJKxjYYPfRKogRfaDUKZoTS3c
T. Simpson Roofing,"200 Davis Dr, Newmarket, ON L3Y 2N4, Canada",(905) 830-3664,http://www.tsimpsonroofing.ca/,4.6,207,roofing_contractor,Home & Construction,100,90,"website, booking, CRM","Local owner, unique name, high rating count, likely in need of software for managing bookings and customer relationships.",44.0566029,-79.47105379999999,ChIJNfs6iPjRKogRkwD44Z5oaQY
Loon Moving Company,"57 Wilstead Dr, Newmarket, ON L3Y 4T8, Canada",(437) 455-4747,https://loonmoving.ca/,5,20,moving_company,Home & Construction,100,90,"website, booking, CRM","Local name, high rating count, likely in need of software for managing bookings and customer relationships.",44.0536037,-79.47614829999999,ChIJ3X4U4umFZ2cRFWTIFkYDJNg
Knowledge Broker Real Estate & Mortgages,"249 Avenue Rd, Newmarket, ON L3Y 1N8, Canada",(289) 231-0001,http://www.knowledgebroker.ca/,5,101,real_estate_agency,Professional Services,100,95,"website, CRM, mobile apps","Local business with unique name, high rating count, likely requires software for real estate and mortgage services.",44.0496546,-79.4672413,ChIJo3FmEgrSKogROO5iAt3Vzws
Tidier Books Inc. | Newmarket Bookkeeper,"362 Park Ave, Newmarket, ON L3Y 1V5, Canada",(416) 799-4139,https://www.tidierbooks.com/,5,11,accounting,Professional Services,100,90,"website, CRM",Local bookkeeping service with potential for CRM integration,44.0526203,-79.46250789999999,ChIJBTorXnLSKogRRfb1sPF0go0
Harry Naghavi,"150 Main St S, Newmarket, ON L3Y 3Z1, Canada",(416) 716-3112,http://harrynaghavi.com/,N/A,0,real_estate_agency,Professional Services,100,90,"website, CRM, mobile apps","Local owner, personal name, likely needs software for online presence and customer management.",44.054379,-79.45829189999999,ChIJ1ywg7Q_SKogR97pdR9vxUqU
Capital Credit Recovery Corporation,"171 Main St S, Newmarket, ON L3Y 3Y9, Canada",(905) 836-9774,N/A,2.6,14,accounting,Professional Services,100,95,"website, booking, CRM","Local name, high rating count, likely needs software for travel bookings, itinerary management, and client relationships.",44.05392659999999,-79.4577111,ChIJ-Y9R7A_SKogRW3fBse3BVk8
Kith Florals,"1-481 Water St, Newmarket, ON L3Y 1M6, Canada",(365) 268-0880,http://kithflorals.ca/,5,196,florist,Retail & Specialty,100,95,"website, booking, CRM, mobile apps","Unique name, high rating count, and clear focus on florals suggest a well-established local business that would greatly benefit from software for managing various aspects of the business.",44.051554,-79.456645,ChIJEfCJ0lTTKogRHZKcLKdsOC8
Robichaud's,"376 Eagle St #3, Newmarket, ON L3Y 1K4, Canada",(905) 235-8389,https://robichaudlaw.ca/,5,3,lawyer,Professional Services,100,90,"website, booking, CRM, mobile apps","Local name, low rating count, diverse software needs for legal services.",44.0490403,-79.4610119,ChIJCX2c5a8uK4gRqTRFcbmgIBg
Newmarket,"Newmarket, ON, Canada",N/A,http://www.newmarket.ca/userfiles/HTML/nts_1_1_1.html,N/A,0,chiropractor,Healthcare & Wellness,100,90,"website, booking, CRM","Unique local name, high software potential",44.05918700000001,-79.46125599999999,ChIJTwGu8AvSKogRj9xyAHO_Ocs
Fine Edge Painting,"504 Bristol Rd, Newmarket, ON L3Y 6P8, Canada",(705) 770-1436,https://www.fineedgepainting.ca/,5,53,painter,Home & Construction,100,90,"website, booking, CRM","Unique name, high rating count, likely in need of software for managing bookings and customer relationships.",44.0730069,-79.4612593,ChIJp5ai0rlGJ4IRhpAYUFK15gc
